A    
a     art.一(个)；每一(个)
regiment     ['redʒimənt] n. (军队)团；v. 严格控制
region     [ˈriːdʒən] n.地区，地带；领域
register     [ˈredʒistə] n.&vt.登记，注册
regress     ['ri:ɡres] v.使倒退，复原，逆行
regressive     [ri'ɡresiv] a.退步的，退化的
regret     [riˈgret] vt.懊悔；抱歉 n.懊悔
regular     [ˈregjulə] a.规则的；整齐的
regularly     [ˈregjuləli] ad.有规律地
regulate     [ˈregjuleit] vt.管理，控制；调整
regulation     [regjuˈlei∫ən] n.规则/章；管理
rehabilitate     [,ri:(h)ə'biliteit] v.修复，恢复(职业、名誉、地位等)
rehearsal     [riˈhəːsəl] n.排练，排演；练习
rehearse     [ri'hə:s] v.排练，预演；详述
reign     [rein] n.君主统治；支配
reimburse     [,ri:im'bə:s] v.偿还
rein     [rein] n.缰绳 vi.驾驭，控制
reincarnate     [ri:'inkɑ:neit] v. 使化身，转生
reinforce     [ˌriːinˈfɔːs] vt.增援，支援；加强
reinstate     ['ri:in'steit] v.恢复(原职)
reiterate     [ri:'itəreit] v.重申，反复地说
reject     [riˈdʒekt] vt.拒绝；丢掉；驳回
rejoice     [riˈdʒɔis] vi.欣喜，高兴
rejoin     ['ri:'dʒɔin] v. 回答，答辩
rejoinder     [ri'dʒɔində] n. 回答
rejuvenate     [ri'dʒu:vineit] v.使返老还童
relapse     [ri'læps] n.旧病复发；再度恶化，倒退；v.旧病复发，再恶化
relate     [riˈleit] vt.叙述；使联系
relation     [riˈlei∫ən] n.关系，联系；家属
relationship     [riˈlei∫ən∫ip] n.关系，联系
relative     [ˈrelətiv] a.有关系的；相对的
relatively     [ˈrelətivli] ad.相对地，比较地
relativity     [ˌreləˈtiviti] n.相关性；相对性
relax     [riˈlæks] vt.使松弛 vi.松弛
relaxation     [,ri:læk'seiʃən] n.松弛，消遣
relay     n.驿马,接替,[电工]继电器;vt.(消息,货物等)分程传递,使接替,转播;vi.得到接替,转播
release     [riˈliːs] vt.释放；放松；发表
relegate     ['reliɡeit] v.降级，降职
relent     [ri'lent] v.动怜悯心，发慈悲；减弱
relenting     [ri'lentiŋ] a.减弱的，怜悯的
relentless     [ri'lentlis] a.无情的，残酷的
relevance     ['reləvəns] n.相关
relevant     [ˈrelivənt] a.有关的，贴切的
reliability     [riˌlaiəˈbiliti] n.可靠性
reliable     [riˈlaiəbl] a.可靠的，可信赖的
reliance     [riˈlaiəns] n.信任，信赖，信心
relic     ['relik] n.遗物，遗迹
relief     [riˈliːf] n.减轻；救济；援救
relieve     [riˈliːv] vt.减轻，解除；救济
relieved     [ri'li:vd] a.宽慰的，如释重负的
religion     [riˈlidʒən] n.宗教；宗教信仰
religious     [riˈlidʒəs] a.宗教的；虔诚的
relinquish     [ri'liŋkwiʃ] v.放弃，废除
relish     ['reliʃ] n.美味；喜好；v.喜好，享受
reluctant     [riˈlʌktənt] a.不愿的，勉强的
rely     [riˈlai] vi.依赖，依靠；信赖
remain     [riˈmein] vi.剩下，余留；保持
remainder     [ri'meində] n.剩余的人或物
remains     [riˈmeins] n.残余，余额；废墟
remark     [riˈmɑːk] vt.&vi.&n.评论，谈论
remarkable     [riˈmɑːkəbl] a.异常的，非凡的
remedy     [ˈremidi] n.&vt.治疗；补救
remember     [riˈmembə] vt.记得，想起；记住
remind     [riˈmaind] vt.提醒，使想起
reminder     [ri'maində] n.提醒人记忆之物
reminisce     [,remi'nis] v.&n.追忆，怀旧
remiss     [ri'mis] a.疏忽的，不留心的
remission     [ri'miʃən] n. 宽恕，赦免
remit     [ri'mit] v. 免除；宽恕；汇款
remittance     [ri'mitəns] n. 汇款
remittent     [ri'mitənt] a. (病)间歇性的，忽好忽坏的
remnant     ['remnənt] n.残余物；零头布料
remonstrance     [ri'mɔnstrəns] n. 抗议，抱怨
remonstrate     [ri'mɔnstreit] v. 抗议；规劝
remorse     [ri'mɔ:s] n.懊悔，悔恨，自责
remote     [riˈməut] a.相隔很远的；冷淡的
removal     [riˈmuːvəl] n.移动；迁移；除掉
remove     [riˈmuːv] vt.移动，搬开；脱掉
remunerate     [ri'mju:nəreit] v. 报酬，补偿
remunerative     [ri'mju:nərətiv] a.有报酬的，有利润的
renaissance     n.复兴,复活,新生,文艺复兴,文艺复兴时期
renascent     [ri'næsnt] a. 再生的，复活的
rend     [rend] v.撕裂；猛拉
render     [ˈrendə] vt.表示，给予；使得
rendering     ['rendəriŋ] n.演出；翻译
rendezvous     ['rɔndivu:] n.约会；约会地点
rendition     [ren'diʃən] n. 表演，扮演，演奏，演唱
renegade     ['reniɡeid] n.(政党，宗教，事业的)叛教者，叛徒
renege     [ri'ni:ɡ] v.背信，违约
renew     [riˈnjuː] vt.使更新 vi.更新
renounce     [ri'nauns] v.(正式)放弃
renovate     ['renəuveit] v.修复，装修，翻新(尤指旧建筑)
renown     [ri'naun] n.名望，声誉
rent     [rent] n.租金，租 vi.出租
renunciate     [ri'nʌnsieit] v. 放弃
repair     [riˈpeə] vt.&n.修理，修补
reparable     ['repərəbl] a.能补救的，可挽回的
reparation     [,repə'reiʃən] n.赔偿，补偿
repartee     [,repɑ:'ti:] n.快速机灵的回答
repatriate     [ri:'pætrieit] v.(自异国)遣返回国
repay     v.偿还,报答,报复
repeal     [ri'pi:l] v.废除(法律)
repeat     [riˈpiːt] vt.重说，重做 n.重复
repeatedly     [riˈpiːtidli] ad.重复地；一再
repel     [ri'pel] v.击退；使„反感
repellent     [ri'pelənt] a.令人厌恶的
repent     [riˈpent] vi.悔悟，悔改 vt.后悔
repercussion     [,ri:pə(:)'kʌʃən] n.反响，后果，(尤指不良的)间接影响；回声
repertoire     ['repətwɑ:] n.(剧团等)常备剧目(以备随时演出)
repetition     [ˌrepiˈti∫ən] n.重复，反复
repine     [ri'pain] v.不满，心中抱怨
replace     [ri(ː)ˈpleis] vt.把…放回；取代
replacement     [ri'pleismənt] n.取代,替换,替换物,代替物
replenish     [ri'pleniʃ] v.补充，再装满
replete     [ri'pli:t] a.饱食的；塞满的，供应充足的
replica     ['replikə] n. 复制品
reply     [riˈplai] vi.&n.回答，答复
report     [riˈpɔːt] vt.&vi.报告；汇报
reportage     [,repɔ:'tɑ:ʒ] n. 报道，报道的消息，报告文学
reporter     [riˈpɔːtə] n.记者，通讯员
reportorial     [,repə'tɔ:riəl] a.记者的；纪实的
repose     [ri'pəuz] n./v.躺着休息，安睡
repository     [ri'pɔzitəri] n. 贮藏室，仓库
reprehend     [repri'hend] v.谴责，责难
reprehensible     [,repri'hensəbl] a.应受谴责的
represent     [ˌriːpriˈzent] vt.描绘；代表；象征
representative     [ˌrepriˈzentətiv] a.代表性的 n.代表
repressed     [ri'prest] a.(情感)被压制的，被压抑的
repression     n.镇压,抑制,抑压
reprieve     [ri'pri:v] v.缓刑，暂时解救；n.缓刑，暂时解救
reprimand     ['reprima:nd] n.训诫，谴责；v.训诫，谴责
reprisal     [ri'praizəl] n.(政治或军事的)报复
reprise     [ri'praiz] n.(音乐剧中)乐曲的重复；重复，重新开始
reproach     [riˈprəut∫] vt.&n.责备，指责
reprobate     ['reprəubeit] v.谴责，指责；adj./n.堕落的(人)
reproduce     [ˌriːprəˈdjuːs] vt.&vi.繁殖，生殖
reproof     [ri'pru:f] n.责斥，责备
reprove     [ri'pru:v] v.责骂，申斥
reptile     ['reptil] n.爬行动物；卑劣的人
reptilian     [rep'tiliən] a.爬虫类的；卑下的
republic     [riˈpʌblik] n.共和国，共和政体
republican     [riˈpʌblikən] a.共和国的
repudiate     [ri'pju:dieit] v.拒绝，抛弃
repugnance     [ri'pʌɡnəns] n.强烈嫌恶、反感
repugnant     [ri'pʌɡnənt] a.令人厌恶的
repulse     [ri'pʌls] v.&n.驱逐，击退；厌恶，粗暴拒绝
repulsion     [ri'pʌlʃən] n.厌恶，反感；(物)排斥力
reputation     [ˌrepju(ː)ˈtei∫ən] n.名誉/声；好名声
repute     [ri'pju:t] n.名声，名誉
request     [riˈkwest] n.&v.请求，要求
require     [riˈkwaiə] vt.需要；要求，命令
requirement     [riˈkwaiəmənt] n.需要；要求
requisite     ['rekwizit] n.必需物；a.必要的
requite     [ri'kwait] v.报答；报复
rescind     [ri'sind] v.废除，取消(法规，合同)
rescission     [ri'siʒən] n.废除
rescript     ['ri:skript] n. 公告，法令；重抄
rescue     [ˈreskjuː] vt.&n.援救，营救
research     [riˈsəːt∫] n.&vi.调查，探究
researcher     [riˈsəːt∫ə(r)] n.调查者；探究者
resemblance     n.类同之处
resemble     [riˈzembl] vt.像，类似
resent     [ri'zent] v.憎恶，愤恨
resentment     [ri'zentmənt] n.愤恨，怨恨
reservation     n.保留,(旅馆房间等)预定,预约
reserve     [riˈzəːv] vt.储备，保留；预定
reservior     n.水库；蓄水池
reservoir     ['rezəvwɑ:] n.水库,蓄水池
reshuffle     ['ri:'ʃʌfl] v. 再洗牌；改组
reside     [ri'zaid] v.(永久性)居住，定居
residence     [ˈrezidəns] n.居住；驻扎；住处
resident     [ˈrezidənt] a.居住的 n.居民
residential     adj.住宅的,与居住有关的
residual     [ri'zidjuəl] a.残余的，剩余的
residue     ['rezidju:] n.剩余物
resign     [riˈzain] vt.放弃 vi.辞职
resignation     [ˌrezigˈnei∫ən] n.放弃，辞职，反抗
resigned     [ri'zaind] a.逆来顺受的，顺从的
resilience     [ri'ziliəns] n.弹性，弹力，迅速恢复的能力
resilient     [ri'ziliənt] a.有弹性的；能恢复活力的，适应力强的
resin     ['rezin] n.树脂
resist     [riˈzist] vt.&vi.抵抗，抵制
resistance     [riˈzistəns] n.抵抗/制；抵抗力
resistant     [riˈzistənt] a.抵抗的，反抗的
resolute     ['rezəlju:t, -lət] a.坚决的,果断的
resolution     [ˌrezəˈljuː∫ən] n.坚决/定；决定
resolve     [riˈzɔlv] vt.解决；决心 n.决心
resonant     ['rezənənt] a.(声音)洪亮的；共鸣的，产生共振的
resort     [riˈzɔːt] vi.&n.求助，凭借
resound     [ri'zaund] v.回荡着声音；鸣响
resource     [riˈsɔːs] n.资源，物力；办法
resourceful     [ri'sɔ:sful] a.机智的，善于随机应变的
respect     [risˈpekt] n.&vt.尊敬，尊重
respectful     [risˈpektful] a.恭敬的，尊重的
respective     [risˈpektiv] ad. 各自的，各个的
respectively     [riˈspektivli] ad.各自/分别地
respiration     [,respi'reiʃən] n.呼吸
respite     ['respait] n.休息(时间)；暂缓
resplendent     [ris'plendənt] a.华丽的，辉煌的
respond     [risˈpɔnd] vi.作答；响应
respondent     [ris'pɔndənt] n.被告
response     [risˈpɔns] n.作答，回答；响应
responsibility     [risˌpɔnsəˈbiliti] n.责任(心)；职责
responsible     [risˈpɔnsəbl] a.有责任的；尽责的
responsive     [ris'pɔnsiv] a.敏感的，反应快的
responsiveness     [ris'pɔnsivnis] n.(积极快速的)应答，响应
rest     [rest] n.休息；安静；静止
restaurant     [ˈrestərənt] n.餐馆，饭店，菜馆
restitution     [,resti'tju:ʃən] n.(物品)归还原主；(对损害的)赔偿
restive     ['restiv] a.不安静的，不安宁的
restiveness     ['restivnis] n.倔强，难以驾御
restless     [ˈrestlis] a.不安定的，焦虑的
restorative     [ri'stɔ:rətiv] a. 恢复健康的
restore     [risˈtɔː] vt.恢复；归还；修补
restored     [ris'tɔ:d] a.恢复至原状的，复修至原状的
restrain     [risˈtrein] vt.抑制，遏制；限制
restraint     [risˈtreint] n.抑制；遏制；克制
restrict     [risˈtrikt] vt 限制，限定，约束
restriction     [risˈtrik∫ən] n.限制，限定，约束
result     [riˈzʌlt] n.成果 vi.发生，结果
resultant     adj.作为结果而发生的,合成的
resume     [riˈzjuːm] vt.恢复；重新开始
resurge     [riˈsə:dʒ] v. 复活
resurgence     [ri'sə:dʒəns] n.再起，复活，再现，复兴
resurrect     [,rezə'rekt] v.使(人)复活；使(事物)复兴
resuscitate     [ri'sʌsiteit] v.使复活，使苏醒
retail     ['ri:teil] v.零售；n.零售
retain     [riˈtein] vt.保持，保留，保有
retainer     [ri'teinə] n.侍从
retaliate     [ri'tælieit] v.报复，反击
retaliation     [ri,tæli'eiʃən] n.报复
retard     [ri'tɑ:d] v.妨碍；减速
retch     [ri:tʃ] v. 作呕，恶心
retell     [ˈriːˈtel] vt.再讲，重述，复述
retention     [ri'tenʃən] n. 保留，保持
retentive     [ri'tentiv] a. 有记忆力的
reticent     ['retisənt] a.沉默不语的，有保留的
reticulation     [ri,tikju'leiʃ(ə)n] n. 网目，网状
retinue     ['retinju:] n.侍从，随员团
retire     [riˈtaiə] vi.退下；引退；就寝
retiring     [ri'taiəriŋ] a.隐居的，不喜欢社交的
retort     [ri'tɔ:t] v.反驳
retouch     [ri:'tʌtʃ] v.(照片、画)修描，润色
retrace     [ri'treis] v.回顾，追溯；原路折返
retract     [ri'trækt] v.缩回，收回
retreat     [riˈtriːt] vi.(被迫)退却，后退
retrench     [ri'trentʃ] v.节省，紧缩费用
retrenchment     [riˈtrentʃmənt] n. 节省，削减
retribution     [,retri'bju:ʃən] n.报应，惩罚
retrieve     [ri'tri:v] v./n.寻回，取回；挽回(错误)
retroactive     [retrəu'æktiv] a. 溯及既往的，有追溯效力的
retrospect     n.回顾
return     [riˈtəːn] vi.&n.回来，返回
reunion     n.团圆,重聚
reveal     [riˈviːl] vt.展现；揭示，揭露
revealing     [ri'vi:liŋ] a.暴露的，裸露的；揭露真相的
revelation     [,revi'leiʃən] n.显示，显露；泄露的事实
revelry     ['revlri] n.(喧闹的)狂欢
revenge     [riˈvendʒ] vt.替…报仇 n.报仇
revenue     ['revinju:] n.总收入；国家的税收收入
reverberate     [ri'və:bəreit] v.起回声，回响
revere     [ri'viə] v.深表尊敬
reverie     ['revəri] n.幻想，白日梦；(音)梦幻曲，幻想曲
reverse     [riˈvəːs] vt.颠倒，翻转 n.背面
reversion     [ri'və:ʃən] n. 返回(原状，旧习惯)；逆转
revert     [ri'və:t] v.恢复，回复到；(思路、话题)回到„上，重新考虑
review     [riˈvjuː] vt.再检查 n.复习
revile     [ri'vail] v.辱骂，恶言相向
revise     [riˈvaiz] vt.修订，校订；修改
revitalize     ['ri:'vaitəlaiz] v.使重新充满活力，使新生，使再兴
revive     [ri'vaiv] v.使苏醒；再流行，使重新使用
revolt     [riˈvəult] vi.&n.反抗，造反
revolution     [ˌrevəˈluː∫ən] n.革命；旋转，绕转
revolutionary     [ˈrevəˈluː∫ənəri] a.革命的 n.革命者
revolve     v.(使)旋转,考虑,循环出现
revue     [ri'vju:] n.时事讽刺剧
revulsion     [ri'vʌlʃən] n. 厌恶，憎恶；剧烈反应
reward     [riˈwɔːd] n.报答；报酬 vt.报答
rewarding     [ri'wɔ:diŋ] a.有益的，值得做的
rhapsody     ['ræpsədi] n. 赞美之词；狂想曲
rhetoric     ['retərik] n.修辞学；（贬）浮夸的言语
rhinestone     ['rainstəun] n.水晶石，莱茵石
rhubarb     ['ru:bɑ:b] n.(植物)大黄；v./n.喧闹争吵
rhyme     [raim] n.押韵；v.押韵
rhythm     [ˈrið(ə)m] n.韵律，格律；节奏
rhythmic     ['riðmik] a.有节奏的
rib     [rib] n.肋，肋骨
ribald     ['ribəld] a.(下流，粗鄙方式)幽默的
ribbon     [ˈribən] n.缎带，丝带；带
rice     [rais] n.稻，米，饭
rich     [rit∫] a.富的，丰富的
rickety     ['rikiti] a.不牢固的，摇摇欲坠的
rid     [rid] vt.使摆脱，使去掉
riddle     [ˈridl] n.谜，谜语
ride     [raid] vi.&n.骑马，乘车
rider     [ˈraidə] n.骑马的人；乘车的人
ridge     [ridʒ] n.脊；岭，山脉；垄
ridicule     ['ridikju:l] n.奚落，嘲笑；v.嘲笑
ridiculous     [riˈdikjuləs] a.荒谬的，可笑的
rife     [raif] a.(尤指不良事物或现象)流行的，普遍的
riffle     ['rifl] n. 涟漪
riffraff     [ˈrifræf] n. （贬）乌合之众，群氓
rifle     [ˈraifl] n.步枪，来复枪
rift     [rift] n.裂口，断裂；(人之间的)矛盾、不和
rig     [riɡ] v.欺骗，舞弊，伪造
right     [rait] a.正确的 ad.对，正好
rigid     [ˈridʒid] a.刚硬的；僵硬的
rigmarole     ['riɡmərəul] n. 冗长的废话
rigor     ['riɡə] n.严酷；严格，苛刻；(尤指思想)严密，精确
rigorous     adj.严格的,严厉的,严酷的,严峻的
rile     [rail] v.使„恼火，激怒
rim     n.边,轮缘,蓝框;vt.镶边,为...装边,沿...边缘滚动;vi.形成边状
rind     [raind] n.(西瓜等)硬外皮
ring     [riŋ] n.环形物(如圈、环等)
ringlet     ['riŋlit] n.长的卷发
rinse     [rins] v. 以清水冲洗，漂洗
riot     ['raiət] v.参加暴动
riotous     ['raiətəs] a.暴乱的；喧闹的
rip     [rip] v. 撕裂，撕破
ripe     [raip] a.熟的；时机成熟的
ripen     [ˈraipən] vt.使熟 vi.成熟
ripple     ['ripl] v.起涟漪；n.细浪，涟漪
rise     [raiz] vi.起立；升起；上涨
risk     [risk] n.风险，危险，冒险
rite     [rait] n.(宗教的)仪式
ritual     ['ritʃuəl] n.仪式，例行习惯
ritzy     ['ritsi] a. 时髦的，势利的
rival     [ˈraivəl] n.竞争者 a.竞争的
rivalry     ['raivəlri] n.竞争，对抗
rive     [raiv] v.撕开，分裂
riven     ['rivən] a.撕裂的，分裂的
river     [ˈrivə] n.江，河，水道
rivet     ['rivit] n.铆钉；v.吸引(注意力)
riveting     ['rivitiŋ] a.（褒）非常精彩的，吸引人的
rivulet     ['rivjulit] n.小溪，小河
road     [rəud] n.路，道路，公路
roar     [rɔː] vi.吼叫；呼喊 n.吼
roast     [rəust] vt.&vi.烤，炙，烘
rob     [rɔb] vt.&vi.抢劫；劫掠
robber     [ˈrɔbə] n.强盗，盗贼
robbery     [ˈrɔbəri] n.抢劫，劫掠，盗取
robe     [rəub] n.长袍，长衣，浴衣
robot     [ˈrəubɔt] n.机器人；自动机
robust     [rə'bʌst] a.健壮的
rock     [rɔk] vt.摇，使动摇 vi.摇
rocket     [ˈrɔkit] n.火箭，火箭发动机
rod     [rɔd] n.杆，竿，棒
roe     [rəu] n.鱼卵
roil     [rɔil] v.煽动，搅浑
roister     ['rɔistə] v. 喝酒喧哗
role     [rəul] n.角色，作用，任务
roll     [rəul] vi.&vt.滚动；转动
roller     [ˈrəulə] n.滚柱，滚筒，滚轴
rollicking     ['rɔlikiŋ] a. 欢闹的
Roman     [ˈrəumən] n.古罗马人 a.罗马的
romance     n.冒险故事,浪漫史,传奇文学,风流韵事,虚构;vi.写传奇,渲染,虚构
romantic     [rəˈmæntik] a.浪漫的；传奇的
roof     [ruːf] n.屋顶，车顶；顶
rookie     ['ruki] n.新兵，新手
room     [rum] n.房间；地位；余地
root     [ruːt] n.根，根子 vi.生根
rope     [rəup] n.绳，索
rose     [rəuz] n.蔷薇花，蔷薇科植物
roster     ['rəustə] n.(尤指军队)值班表，执勤人员名单
rostrum     ['rɔstrəm] n.演讲台，讲坛
rosy     ['rəuzi] a. 玫瑰色的；美好的;健康的
rot     [rɔt] vt.烂，腐坏 n.腐烂
rotary     [ˈrəutəri] a.旋转的，转动的
rotate     [rəuˈteit] vi.旋转 vt.使旋转
rotation     [rəuˈtei∫ən] n.旋转，转动；循环
rote     [rəut] n. 死记硬背
rotten     [ˈrɔtn] a.腐烂的，发臭的
rotund     [rəu'tʌnd] a. (人)圆胖的；(声音)洪亮的
rough     [rʌf] a.表面不平的；粗略的
roughen     ['rʌfən] v.使变得粗糙，使变得不平
roughly     [ˈrʌfli] ad.粗糙地，粗略地
round     [raund] a.圆的 n.兜圈；一轮
roundabout     ['raundəbaut] a. 绕远道的，转弯抹角的
rouse     [rauz] vt.唤醒，唤起；惊起
rout     [raut] n. 大败，溃败
route     [ruːt] n.路，路线，路程
routine     [ruːˈtiːn] n.例行公事 a.日常的
rove     [rəuv] v. 流浪，漂泊
row     [rau] n.(一)排，(一)行
rowdy     ['raudi] a. 吵闹的，粗暴的
royal     [ˈrɔiəl] a.王的；皇家的
royalty     ['rɔiəlti] n.版税；王室成员
rub     [rʌb] vt.摩擦，擦 vi.摩擦
rubber     [ˈrʌbə] n.橡皮(擦子)；橡胶
rubbish     [ˈrʌbi∫] n.垃圾，废物；废话
rubble     ['rʌbl] n. (一堆)碎石，瓦砾
rubicund     ['ru:bikənd] a.(脸色)红润的
ruby     ['ru:bi] n.红宝石
ruck     [rʌk] n. 皱褶；普通群众
rucksack     ['ruksæk] n. (旅行等的)背包
rudder     ['rʌdə] n.船舵；领导者
ruddy     ['rʌdi] a. (脸色)红润的，红色的
rude     [ruːd] a.加工粗糙的；粗野的
rudimentary     [ru:di'mentəri] a.（贬）初步的；未充分发展的，发育不成熟的
rue     [ru:] n.后悔，遗憾
ruffian     ['rʌfiən] n.恶棍，歹徒；a.残暴的
ruffle     ['rʌfl] v.弄皱或弄乱；激怒；n.皱边(装饰衣服)
rug     [rʌg] n.小地毯；毛毯
ruin     [ˈruːin] n.毁灭；废墟 vt.毁坏
rule     [ruːl] n.统治；规定；习惯
ruler     [ˈruːlə] n.统治者；尺，直尺
rumble     ['rʌmbl] v. 发出低沉的隆隆声音
ruminant     ['ru:minənt] a.(动物)反刍的；沉思的
ruminate     ['ru:mineit] v. 反刍；深思
rumor     ['ru:mə] n.(rumour)传闻,谣言
rumour     [ˈruːmə] n.谣言，谣传，传闻
rumple     ['rʌmpl] v.弄皱，弄乱
run     [rʌn] vi.跑，奔；行驶；流
rung     [rʌŋ] n.梯子横挡，梯级
runic     ['ru:nik] a.北欧古代文字的；神秘的
runner     [ˈrʌnə(r)] n.赛跑的人
rupture     ['rʌptʃə] n./v.破裂，断裂
rural     [ˈruər(ə)l] a.农村的，田园的
ruse     [ru:z] n.骗术，诡计
rush     [rʌ∫] vi.冲，奔 vt.催促
Russian     [ˈrʌ∫ən] a.俄罗斯的 n.俄国人
rust     [rʌst] n.锈 vi.生锈，氧化
rustic     ['rʌstik] a.乡村的，乡土气的
rustle     ['rʌs(ə)l] v. (使某物)发出轻而爽的声音
rustler     ['rʌs(ə)lə(r)] n. 偷牛(马)贼
rusty     [ˈrʌsti] a.生锈的；变迟钝的
ruthless     ['ru:θlis] a.残酷的,无情的
ruthlessness     ['ru:θlisnis] n.无情，残忍
S    
sabotage     ['sæbətɑ:ʒ] n.阴谋破坏，颠覆活动(尤指摧毁对方武器、装备或挫败对方计划)
saboteur     [,sæbə'tə:] n.从事破坏活动者
saccharin     ['sækərin] n.糖精
saccharine     ['sækərain] a. (态度)娇媚的；(说话声)娇滴滴的
sack     [sæk] n.袋，麻袋；开除
sacrament     ['sækrəmənt] n. 圣礼，圣事
sacred     [ˈseikrid] a.上帝的；神圣的
sacrifice     [ˈsækrifais] n.&vt.牺牲；南祭
sacrilege     ['sækrilidʒ] n.亵渎，冒犯神灵
sacrilegious     [sækri'lidʒəs] a.亵渎神圣的
sad     [sæd] a.悲哀的，令人悲痛的
sadden     ['sædn] v.使伤心，使悲哀
saddle     [ˈsædl] n.鞍子，马鞍
sadistic     [sə'distik] a. 施虐狂的，性施虐狂的
sadly     [ˈsædli] ad.悲痛地，悲哀地
sadness     [ˈsædnis] n.悲痛，悲哀
safe     [seif] a.安全的；谨慎的
safeguard     ['seif,ɡɑ:d] n.防范措施，保护性措施
safely     [ˈseifli] ad.安全地；可靠地
safety     [ˈseifti] n.安全，保险
sag     [sæɡ] v. 松弛，下垂
saga     ['sɑ:ɡə] n. 英雄故事，长篇小说
sagacious     [sə'ɡeiʃəs] a.聪明的，睿智的
sage     [seidʒ] a.智慧的；n.智者
sail     [seil] n.帆；船 vi.航行
sailor     [ˈseilə] n.水手，海员，水兵
saint     [seint] n.圣徒；基督教徒
saintly     ['seintli] a.圣徒似的，极为圣洁的
sake     [seik] n.缘故，理由
salad     [ˈsæləd] n.色拉；莴苣，生菜
salary     [ˈsæləri] n.薪金，薪水
sale     [seil] n.卖；拍卖；销售额
salesman     [ˈseilzmən] n.售货员，推销员
salient     ['seiljənt] a.显著的，突出的
saliferous     [sə'lifərəs] a. 含盐的，产盐的
saliva     [sə'laivə] n.唾液，口水
sally     ['sæli] n. 突围；远足
salmon     ['sæmən] n.大麻哈鱼；鲜肉色，橙红色
salt     [sɔːlt] n.盐；盐类 vt.加盐于
salubrious     [sə'lju:briəs] a.(气候)有益健康的
salutary     ['sæljutəri] a.有益的，有益健康的
salutation     [sælju(:)'teiʃən] n.招呼，致意，敬礼
salute     [səˈluːt] n.招呼，行礼 vi.行礼
salvage     ['sælvidʒ] n./v.(从灾难中)抢救，海上救助
salvation     n.拯救,救助
salve     [sɑ:v] n.药膏；v.减轻，缓和(痛苦，愧疚)
same     [seim] a.同一的，相同的
sample     [ˈsæmpl] n.样品；实例，标本
sampler     ['sɑ:mplə] n.刺绣花样；取样员
sanatorium     [,sænə'tɔ:riəm] n. 疗养院，休养所
sanctify     ['sæŋktifai] v.使神圣
sanctimonious     [sæŋkti'məunjəs] a.（贬）假装神圣(虔诚)的
sanction     ['sæŋkʃən] n./v.批准，认可
sand     [sænd] n.沙，沙子；沙滩
sandal     ['sændl] n.凉鞋，拖鞋
sandwich     [ˈsænwidʒ] n.三明治 vt.夹入
sandy     [ˈsændi] n.沙的，含沙的
sane     [sein] a.神志清楚的；明智的，理智的
sangfroid     ['sə:ŋ'frwɑ:] n. 沉着，临危不惧
sanguine     ['sæŋɡwin] a.乐观的
sanitary     ['sænitəri] a. 卫生的，清洁的
sanitize     ['sænitaiz] v. 使„清洁
sanity     ['sæniti] n.神志清楚
sap     [sæp] n.树液；活力；v.消弱，耗尽
sapient     ['seipiənt] a.有智慧的
sapling     ['sæpliŋ] n. 树苗；年轻人
sapphire     ['sæfaiə] n.青石，蓝宝石；a.天蓝色的
sarcastic     [sɑ:'kæstik] a.讽刺的
sardonic     [sɑ:'dɔnik] a. 嘲笑的
sartorial     [sɑ:'tɔ:riəl] a.裁缝的，缝制的
sash     [sæʃ] n.肩带
satanic     [sə'tænik] a. 穷凶恶极的
sate     [seit] v.使充分意足(尤指坏事)；使厌腻
sated     ['seitid] a. 厌腻的
satellite     [ˈsætəlait] n.卫星；人造卫星
satiated     ['seiʃieitid] a.充分满足的；厌倦的，生腻的
satiny     ['sætini] a. 光滑的，柔细的
satire     ['sætaiə] n.讽刺(作品)
satirize     ['sætiraiz] v.讽刺
satisfaction     [ˌsætisˈfæk∫ən] n.满意；快事；赔偿
satisfactory     [ˌsætisˈfæktəri] a.令人满意的,良好的
satisfy     [ˈsætisfai] vt.满足；使满意
saturate     ['sætʃəreit] v.浸透；使充满
saturated     ['sætʃəreitid] a.渗透的，湿透的，饱和的；深颜色的
Saturday     [ˈsætədi] n.星期六
saturnine     ['sætə(:)nain] a.忧郁的，阴沉的
sauce     [sɔːs] n.调味汁，酱汁
saucer     [ˈsɔːsə] n.茶托，浅碟
saucy     ['sɔ:si] a. 无礼的；调皮的；漂亮的
saunter     ['sɔ:ntə] n./v.闲逛，漫步
sausage     [ˈsɔsidʒ] n.香肠，腊肠
savage     ['sævidʒ] a.凶猛的，野蛮的
savant     ['sævənt] n.博学之士，大学士
save     [seiv] vt.救；节省；储蓄
saving     [ˈseiviŋ] n.搭救；节约；存款
savvy     ['sævi] a.有见识的，精明能干的
saw     [sɔː] n.锯子 vt.锯，锯开
sawdust     ['sɔ:dʌst] n.锯屑
say     [sei] vt.说；说明；比如说
scab     [skæb] n. 创口上所结的疤、痂
scabbard     ['skæbəd] n.(刀剑)鞘
scabrous     ['skeibrəs] a. 粗糙的
scad     [skæd] n.许多，大量
scads     [skædz] n. 大量，巨额
scaffold     ['skæfəuld] n.脚手架(造房时搭的架子)
scald     [skɔ:ld] v. 烫，用沸水消毒；n. 烫伤
scalding     ['skɔ:ldiŋ] a.滚烫的
scale     [skeil] n.天平，磅秤，秤
scalpel     ['skælpəl] n.外科手术刀，解剖刀
